"-- Please Select --","-- Please Select --"
"Action","Action"
"Actions","Actions"
"Checkout Key","Checkout Key"
"Connection failed! Test again?","Connection failed! Test again?"
"Delete","Delete"
"Enabled","Enabled"
"Environment","Environment"
"ID","ID"
"If set to ""Yes"", the transaction will be charged automatically after the reservation has been accepted.","If set to ""Yes"", the transaction will be charged automatically after the reservation has been accepted."
"Integration type","Integration type"
"Is Auto Capture","Is Auto Capture"
"Name","Name"
"Nexi Checkout","Nexi Checkout"
"New Order Status","New Order Status"
"Payment Method","Payment Method"
"Payment Method splitting","Payment Method splitting"
"Payment Methods","Payment Methods"
"Payment Provider","Payment Provider"
"Payment Terms and Conditions URL","Payment Terms and Conditions URL"
"Payment Type","Payment Type"
"Place Order","Place Order"
"Sample Form","Sample Form"
"Secret Key","Secret Key"
"Select the payment methods you want to enable.","Select the payment methods you want to enable."
"Status","Status"
"Successful! Test again?","Successful! Test again?"
"Test Checkout Key","Test Checkout Key"
"Test Connection","Test Connection"
"Test Secret Key","Test Secret Key"
"Title","Title"
"Webshop Terms and Conditions URL","Webshop Terms and Conditions URL"
"add URL to your Webshop Terms and Conditions site.","add URL to your Webshop Terms and Conditions site."
